TotalVolumne,4046,4225,4770,TotalBags,SmallBags,LargeBags,type_encoder
-0.10219786043290484,-0.0690644211610229,0.1725146822567251,-0.021915873031127173,-0.2937417977225544,-0.22064338583582072,-0.11663252941085155,0
-0.12437060216304835,-0.07235454308869704,0.10582875809249685,-0.02028695810949768,-0.28609061208633585,-0.21064875929095242,-0.11643893783975551,0
0.025687872401197288,-0.07126146665948963,0.5440875995121676,-0.008727588405072862,-0.29895984407169596,-0.22761844120104488,-0.11618096793959214,0
-0.06724239678458242,-0.0681997270849035,0.2915485718291978,-0.018004555195710044,-0.32104410503721426,-0.25699925144353364,-0.1147829080558749,0
-0.13346125475870568,-0.0699291152371423,0.10039105129632125,-0.017492015594017384,-0.3175170606897809,-0.2531619211499815,-0.11186396722092908,0
-0.12175809788083214,-0.06772526183864314,0.12912512174071836,-0.022644640277283922,-0.3127868343104713,-0.24607753305606717,-0.11507146907694261,0
-0.05667295968757595,-0.06604915685065818,0.30307256725087717,-0.014692268019771216,-0.29731822958438897,-0.2256976639447373,-0.11531756779585951,0
0.004860115533429779,-0.07208703800342264,0.4942614740627052,-0.016816103994285184,-0.31141202593544637,-0.2496758222473467,-0.09521326577109258,0
-0.017922092080541976,-0.06919685750965383,0.39575618105888344,-0.015960803533960555,-0.26827704654716467,-0.18957164555074807,-0.10793095355719948,0
-0.07826615567270553,-0.0708284842174269,0.2425060163828224,-0.011530539351829608,-0.29441307054760446,-0.22737915161529787,-0.09511829632112094,0
-0.05338084420796926,-0.07007997830186102,0.31613747951060234,-0.010878653045926754,-0.29838923851737925,-0.22966035415107172,-0.10592335417486615,0
-0.10159957610530809,-0.0641147147494425,0.16044298947377575,-0.012760634395891998,-0.280240367708021,-0.20495600289483246,-0.10912720335972693,0
-0.10984850862795649,-0.05788512313176473,0.14143968453936356,-0.013394902152986665,-0.29317526048838954,-0.22342192804539793,-0.10368746284548562,0
-0.0013582984950075308,-0.0675381807457519,0.4779151331321713,-0.004829084059698051,-0.31893141692116533,-0.2543719114280656,-0.11424276930916118,0
-0.08911546333182754,-0.06914348357339956,0.20551966438692681,-0.005524215894493725,-0.2883442722262501,-0.2220662022096393,-0.08535607608148744,0
-0.07406712596172338,-0.06952744913522878,0.24888802897429096,-0.0068856492114898575,-0.28816148165570793,-0.21987842946020067,-0.09251394178920617,0
